City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Saint-Pierre,RE,81.91,clear sky,-21.3393,55.4781,Alize Plage
203,Namatanai,PG,82.11,light rain,-3.6667,152.4333,Seagulls Inn Namatani
205,Victoria,HK,84.18,broken clouds,22.2855,114.1577,Mini Central
213,Karmala,IN,81.0,scattered clouds,18.4167,75.2,Hotel Ashutosh Lodge
220,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
221,Lucea,JM,76.86,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
225,Haimen,CN,85.89,scattered clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
228,Hasaki,JP,75.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
232,Eirunepe,BR,75.15,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
233,Itigi,TZ,71.1,broken clouds,-5.7,34.4833,SAAMBILI PUB 🍻 & LODGE
236,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
242,Vung Tau,VN,83.73,overcast clouds,10.346,107.0843,Seaside Resort
249,Grand-Lahou,CI,77.05,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
253,Sabang,ID,79.12,overcast clouds,5.8933,95.3214,Hotel Citra
262,Sorong,ID,83.57,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
264,Anton Lizardo,MX,75.42,clear sky,19.05,-95.9833,Hotel CocoAventura
267,Bandarbeyla,SO,80.73,overcast clouds,9.4942,50.8122,JABIR HOTEL
281,Sao Felix Do Xingu,BR,76.59,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
288,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
293,Lazaro Cardenas,MX,77.0,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
294,Biak,ID,84.92,overcast clouds,-0.9131,122.8766,Penginapan Kim
